"Params","coefs","2.5 %","97.5 %"
"ar.log(pop)","1.04","0.958","1.129"
"ar.HDI_cat","1.071","0.928","1.235"
"ar.LL","0.875","0.695","1.101"
"ar.sindex_lag","1.022","0.997","1.047"
"ar.testing_lag","0.931","0.862","1.006"
"ar.rain_mean_lag","1.025","0.984","1.068"
"ar.temp_mean_lag","1.112","1.052","1.176"
"ar.sh_mean_lag","0.895","0.842","0.951"
"ar.ri(iid)","1.023","0.659","1.588"
"ne.log(pop)","1.53","1.018","2.3"
"ne.HDI_cat","1.054","0.521","2.131"
"ne.LL","1.135","0.43","2.996"
"ne.sindex_lag","1.302","1.204","1.407"
"ne.testing_lag","1.183","0.983","1.424"
"ne.ri(iid)","0.023","0.003","0.181"
"end.1","4.182","2.738","6.387"
"neweights.d","1.846","1.213","2.48"
"overdisp","1.66","1.611","1.71"
"","","",""
"AIC",NA,"",""
"","","",""
"logs","rps","dss","ses"
"4.903","119.712","9.538","95340.986"
